country,CBA,PBA
Ireland,1.31251E+11,98171688435
Spain,4.17916E+11,3.40513E+11
Cyprus,14465325608,15918539064
Switzerland,1.3061E+11,59766160564
Austria,1.18603E+11,88794393132
Portugal,93658739845,1.02658E+11
Azores Islands,93658739845,1.02658E+11
Luxembourg,21984186098,12984508220
Estonia,17567227831,20499600372
Canada,6.70028E+11,8.03139E+11
Poland,4.23419E+11,4.9408E+11
Italy,6.22467E+11,4.11856E+11
Latvia,15712861715,16116755894
Australia,6.48909E+11,7.72204E+11
Hungary,95054082146,81593621790
Republic of Korea,8.89058E+11,7.62737E+11
Germany,1.17709E+12,9.1264E+11
India,4.55378E+12,4.56311E+12
Indonesia,1.17385E+12,1.27594E+12
Czech Republic,1.4311E+11,1.40039E+11
Japan,1.61145E+12,1.36365E+12
Malta,3822079009,2014638693
Finland,77917976467,73135905191
Turkey,6.29272E+11,6.14364E+11
Lithuania,29192151931,29186854208
Russian Federation,1.87857E+12,2.62266E+12
Bulgaria,44169789383,58723993180
U.K. of Great Britain and Northern Ireland,7.37057E+11,5.18577E+11
Greece,1.62997E+11,1.66696E+11
South Africa,3.37318E+11,5.07541E+11
France,6.40357E+11,4.37445E+11
China,1.46965E+13,1.50288E+13
Sweden,1.02376E+11,62293089123
Slovenia,23475126886,19620568880
Croatia,26299471459,25384382798
United States of America,7.49324E+12,6.25361E+12
Mexico,7.28674E+11,7.83167E+11
Romania,1.23396E+11,1.10799E+11
Taiwan,2.98793E+11,3.33466E+11
Brazil,1.09212E+12,1.2289E+12
Netherlands,2.67136E+11,2.15342E+11
Slovakia,55912200788,41874308801
Norway,91060763219,88111293394
Denmark,83435597431,67041764020
Belgium,1.96321E+11,1.28867E+11